order_id,order_date,supplier,category,quantity,unit_price,promised_days,actual_days,defects,status,warehouse,revenue,on_time,month,month_name,year,quarter
1001,2024-06-01 00:00:00,Supplier B,Raw Materials,399,1577.27,5,9,17,Pending,Mumbai,629330.73,0,2024-06,Jun 2024,2024,Q2
1002,2024-06-01 06:00:00,Supplier E,Packaging,476,1616.33,9,8,15,Delivered,Delhi,769373.08,1,2024-06,Jun 2024,2024,Q2
1003,2024-06-01 12:00:00,Supplier D,Raw Materials,86,1973.8,8,8,17,Delivered,Delhi,169746.8,1,2024-06,Jun 2024,2024,Q2
1004,2024-06-01 18:00:00,Supplier C,Apparel,197,1215.79,5,4,7,Cancelled,Mumbai,239510.63,1,2024-06,Jun 2024,2024,Q2
1005,2024-06-02 00:00:00,Supplier A,Apparel,355,209.83,9,7,9,Delivered,Hyderabad,74489.65,1,2024-06,Jun 2024,2024,Q2
1006,2024-06-02 06:00:00,Supplier A,Electronics,279,1311.33,5,6,9,Delivered,Hyderabad,365861.07,0,2024-06,Jun 2024,2024,Q2
1007,2024-06-02 12:00:00,Supplier A,Finished Goods,104,1268.71,9,2,4,Pending,Mumbai,131945.84,1,2024-06,Jun 2024,2024,Q2
1008,2024-06-02 18:00:00,Supplier E,Raw Materials,319,1294.78,7,12,9,Delivered,Mumbai,413034.82,0,2024-06,Jun 2024,2024,Q2
1009,2024-06-03 00:00:00,Supplier C,Electronics,141,648.93,6,4,17,Delivered,Chennai,91499.13,1,2024-06,Jun 2024,2024,Q2
1010,2024-06-03 06:00:00,Supplier D,Finished Goods,48,1726.38,6,13,5,Cancelled,Hyderabad,82866.24,0,2024-06,Jun 2024,2024,Q2
1011,2024-06-03 12:00:00,Supplier A,Raw Materials,81,1920.97,4,2,2,Delivered,Chennai,155598.57,1,2024-06,Jun 2024,2024,Q2
1012,2024-06-03 18:00:00,Supplier E,Packaging,290,474.54,8,5,7,Pending,Delhi,137616.6,1,2024-06,Jun 2024,2024,Q2
1013,2024-06-04 00:00:00,Supplier D,Raw Materials,342,221.9,9,11,8,Delivered,Chennai,75889.8,0,2024-06,Jun 2024,2024,Q2
1014,2024-06-04 06:00:00,Supplier A,Apparel,169,429.34,3,4,4,Delivered,Mumbai,72558.46,0,2024-06,Jun 2024,2024,Q2
1015,2024-06-04 12:00:00,Supplier A,Apparel,196,1650.08,4,12,1,Delivered,Mumbai,323415.68,0,2024-06,Jun 2024,2024,Q2
1016,2024-06-04 18:00:00,Supplier A,Packaging,495,1369.46,4,5,1,Cancelled,Mumbai,677882.7,0,2024-06,Jun 2024,2024,Q2
1017,2024-06-05 00:00:00,Supplier B,Electronics,200,1290.29,9,10,6,Delivered,Mumbai,258058.0,0,2024-06,Jun 2024,2024,Q2
1018,2024-06-05 06:00:00,Supplier C,Finished Goods,431,833.5,9,4,16,Delivered,Chennai,359238.5,1,2024-06,Jun 2024,2024,Q2
1019,2024-06-05 12:00:00,Supplier C,Raw Materials,129,1176.76,4,13,9,Delivered,Chennai,151802.04,0,2024-06,Jun 2024,2024,Q2
1020,2024-06-05 18:00:00,Supplier B,Apparel,229,650.35,4,7,11,Delivered,Chennai,148930.15,0,2024-06,Jun 2024,2024,Q2
1021,2024-06-06 00:00:00,Supplier C,Electronics,62,980.54,6,7,1,Delivered,Mumbai,60793.48,0,2024-06,Jun 2024,2024,Q2
1022,2024-06-06 06:00:00,Supplier A,Packaging,231,1596.47,3,8,9,Pending,Mumbai,368784.57,0,2024-06,Jun 2024,2024,Q2
1023,2024-06-06 12:00:00,Supplier B,Apparel,460,1963.42,4,10,19,Delivered,Hyderabad,903173.2,0,2024-06,Jun 2024,2024,Q2
1024,2024-06-06 18:00:00,Supplier B,Packaging,421,1868.35,6,13,0,Delivered,Hyderabad,786575.35,0,2024-06,Jun 2024,2024,Q2
1025,2024-06-07 00:00:00,Supplier C,Raw Materials,140,1871.04,4,8,3,Delivered,Mumbai,261945.6,0,2024-06,Jun 2024,2024,Q2
1026,2024-06-07 06:00:00,Supplier D,Finished Goods,246,834.34,5,2,12,Delivered,Hyderabad,205247.64,1,2024-06,Jun 2024,2024,Q2
1027,2024-06-07 12:00:00,Supplier A,Apparel,255,964.14,4,9,11,Delivered,Delhi,245855.7,0,2024-06,Jun 2024,2024,Q2
1028,2024-06-07 18:00:00,Supplier C,Apparel,235,1425.99,9,6,10,Delivered,Delhi,335107.65,1,2024-06,Jun 2024,2024,Q2
1029,2024-06-08 00:00:00,Supplier C,Raw Materials,217,1848.27,8,10,9,Delivered,Mumbai,401074.59,0,2024-06,Jun 2024,2024,Q2
1030,2024-06-08 06:00:00,Supplier A,Electronics,415,326.89,8,11,14,Delivered,Chennai,135659.35,0,2024-06,Jun 2024,2024,Q2
1031,2024-06-08 12:00:00,Supplier C,Finished Goods,105,643.27,4,13,4,Delivered,Delhi,67543.35,0,2024-06,Jun 2024,2024,Q2
1032,2024-06-08 18:00:00,Supplier A,Apparel,431,321.53,7,6,16,Delivered,Delhi,138579.43,1,2024-06,Jun 2024,2024,Q2
1033,2024-06-09 00:00:00,Supplier A,Finished Goods,209,1243.42,5,6,4,Delivered,Chennai,259874.78,0,2024-06,Jun 2024,2024,Q2
1034,2024-06-09 06:00:00,Supplier E,Apparel,256,647.29,3,13,1,Pending,Hyderabad,165706.24,0,2024-06,Jun 2024,2024,Q2
1035,2024-06-09 12:00:00,Supplier E,Finished Goods,81,685.91,4,13,8,Delivered,Chennai,55558.71,0,2024-06,Jun 2024,2024,Q2
1036,2024-06-09 18:00:00,Supplier D,Packaging,327,188.29,3,3,5,Delivered,Hyderabad,61570.83,1,2024-06,Jun 2024,2024,Q2
